"Number pokemon 1","Attack pokemon 1","Defense pokemon 1","Generation pokemon 1","HP pokemon 1","Legendary pokemon 1","Name pokemon 1","Sp. Atk pokemon 1","Sp. Def pokemon 1","Speed pokemon 1","Type 1 pokemon 1","Type 2 pokemon 1","Number pokemon 2","Winning pokemon"
496,85,40,4,135,False,Munchlax,40,85,5,Normal,,420,496
268,134,110,2,100,False,Tyranitar,95,100,61,Rock,Dark,159,159
473,50,34,4,90,False,Drifloon,60,44,70,Ghost,Flying,593,473
550,90,90,4,70,True,Darkrai,135,90,125,Dark,,475,550
199,20,50,2,70,False,Marill,20,50,40,Water,Fairy,785,785
385,90,70,3,60,False,Kecleon,60,120,40,Normal,,732,732
488,25,45,4,20,False,"Mime Jr.",70,90,60,Psychic,Fairy,196,488
30,85,69,1,60,False,Arbok,65,79,80,Poison,,587,30
36,62,67,1,70,False,Nidorina,55,55,56,Poison,,494,494
513,120,65,4,70,False,Weavile,45,85,125,Dark,Ice,184,184
129,92,65,1,80,False,Seaking,65,80,68,Water,,106,129
6,64,58,1,58,False,Charmeleon,80,65,80,Fire,,604,6
137,125,100,1,65,False,Pinsir,55,70,85,Bug,,315,137
83,120,130,1,80,False,Golem,55,65,45,Rock,Ground,509,509
585,105,105,5,70,False,Boldore,50,40,20,Rock,,534,585
743,82,62,6,67,False,Pancham,46,48,43,Fighting,,57,57
220,65,90,2,50,False,Pineco,35,35,15,Bug,,723,723
764,73,88,6,71,False,Clawitzer,120,89,59,Water,,665,764
708,150,120,5,100,True,Zekrom,120,100,90,Dragon,Electric,439,708
28,90,65,1,65,False,Fearow,61,61,100,Normal,Flying,545,545
23,80,75,1,83,False,Pidgeot,70,70,101,Normal,Flying,796,23
698,85,55,5,55,False,Larvesta,50,55,60,Bug,Fire,147,147
306,65,65,3,68,False,Gardevoir,125,115,80,Psychic,Fairy,635,635
158,90,85,1,90,True,Zapdos,125,90,100,Electric,Flying,666,158
55,65,60,1,70,False,Venomoth,90,75,90,Bug,Poison,750,750
513,120,65,4,70,False,Weavile,45,85,125,Dark,Ice,439,513
769,59,50,6,77,False,Amaura,67,63,46,Rock,Ice,264,264
232,125,75,2,80,False,Heracross,40,95,85,Bug,Fighting,499,499
23,80,75,1,83,False,Pidgeot,70,70,101,Normal,Flying,623,23
97,105,75,1,105,False,Muk,65,100,50,Poison,,250,250
324,45,135,3,30,False,Nosepass,45,90,30,Rock,,544,544
517,100,125,4,100,False,Tangrowth,110,50,50,Grass,,10,517
586,135,130,5,85,False,Gigalith,60,80,25,Rock,,461,461
779,70,48,6,43,False,Phantump,50,60,38,Ghost,Grass,349,349
669,30,55,5,50,False,Litwick,65,55,20,Ghost,Fire,226,226
623,58,80,5,72,False,Sigilyph,103,80,97,Psychic,Flying,53,623
538,75,130,4,75,True,Uxie,75,130,95,Psychic,,718,718
438,104,71,4,76,False,Infernape,104,71,108,Fire,Fighting,242,438
523,60,110,4,65,False,Glaceon,130,95,65,Ice,,759,523
14,30,35,1,45,False,Caterpie,20,20,45,Bug,,103,103
378,41,77,3,66,False,Lileep,61,87,23,Rock,Grass,152,152
478,60,60,4,60,False,Mismagius,105,105,105,Ghost,,361,478
137,125,100,1,65,False,Pinsir,55,70,85,Bug,,698,137
354,100,70,3,70,False,Camerupt,105,75,40,Fire,Ground,739,739
233,185,115,2,80,False,"Mega Heracross",40,105,75,Bug,Fighting,684,684
291,70,50,3,60,False,Beautifly,100,50,65,Bug,Flying,605,291
96,80,50,1,80,False,Grimer,40,50,25,Poison,,264,264
730,50,43,6,45,False,Fletchling,40,38,62,Normal,Flying,137,137
129,92,65,1,80,False,Seaking,65,80,68,Water,,744,129
611,92,65,5,70,False,Basculin,80,55,98,Water,,107,611
58,45,35,1,40,False,Meowth,40,40,90,Normal,,560,560
658,77,60,5,70,False,Galvantula,97,60,108,Bug,Electric,146,658
625,50,145,5,58,False,Cofagrigus,95,105,30,Ghost,,753,625
524,95,125,4,75,False,Gliscor,45,75,95,Ground,Flying,27,524
794,131,95,6,126,True,Yveltal,131,98,99,Dark,Flying,474,794
365,40,60,3,45,False,Swablu,40,75,50,Normal,Flying,391,391
592,60,126,5,103,False,"Mega Audino",80,126,50,Normal,Fairy,585,592
512,132,105,4,90,False,"Mega Abomasnow",132,105,30,Grass,Ice,586,512
526,80,70,4,85,False,Porygon-Z,135,75,90,Normal,,424,424
70,35,30,1,40,False,Kadabra,120,70,105,Psychic,,456,70
540,125,70,4,75,True,Azelf,125,70,115,Psychic,,288,540
347,73,83,3,100,False,Swalot,73,83,55,Poison,,389,347
689,83,50,5,70,False,Rufflet,37,50,60,Normal,Flying,128,128
211,85,85,2,95,False,Quagsire,65,65,35,Water,Ground,701,701
336,60,75,3,60,False,Medicham,60,75,80,Fighting,Psychic,385,336
594,105,85,5,85,False,Gurdurr,40,50,40,Fighting,,80,80
785,90,122,6,65,False,"Gourgeist Average Size",58,75,84,Ghost,Grass,490,490
425,180,160,3,100,True,"Primal Groudon",150,90,90,Ground,Fire,308,425
27,60,30,1,40,False,Spearow,31,31,70,Normal,Flying,731,731
459,59,85,4,60,False,"Wormadam Plant Cloak",79,105,36,Bug,Grass,399,459
421,130,100,3,80,True,"Mega Latios",160,120,110,Dragon,Psychic,494,421
578,55,85,5,116,False,Musharna,107,95,29,Psychic,,768,768
63,105,60,1,65,False,,60,70,95,Fighting,,82,63
257,95,95,2,50,False,Hitmontop,35,110,70,Fighting,,221,257
4,100,123,1,80,False,"Mega Venusaur",122,120,80,Grass,Poison,150,4
546,120,100,4,150,True,"Giratina Origin Forme",120,100,90,Ghost,Dragon,333,546
308,30,32,3,40,False,Surskit,50,52,65,Bug,Water,544,544
213,65,110,2,95,False,Umbreon,60,130,65,Dark,,442,213
575,53,48,5,50,False,Panpour,53,48,64,Water,,302,302
209,65,45,2,65,False,Yanma,75,45,95,Bug,Flying,645,209
92,85,45,1,35,False,Doduo,35,35,75,Normal,Flying,768,92
116,105,79,1,50,False,Hitmonchan,35,110,76,Fighting,,672,116
132,45,65,1,40,False,"Mr. Mime",100,120,90,Psychic,Fairy,69,69
568,110,90,5,85,False,Stoutland,45,90,80,Normal,,396,568
644,50,50,5,36,False,Vanillite,65,60,44,Ice,,218,644
321,60,30,3,72,False,Makuhita,20,30,25,Fighting,,163,163
17,35,30,1,40,False,Weedle,20,20,50,Bug,Poison,164,164
715,72,90,5,91,False,"Keldeo Resolute Forme",129,90,108,Water,Fighting,190,715
51,80,85,1,75,False,Vileplume,110,90,50,Grass,Poison,57,51
237,40,40,2,40,False,Slugma,70,40,20,Fire,,448,448
580,77,62,5,62,False,Tranquill,50,42,65,Normal,Flying,676,580
789,69,85,6,55,False,Bergmite,32,35,28,Ice,,726,726
420,90,80,3,80,True,Latios,130,110,110,Dragon,Psychic,718,420
83,120,130,1,80,False,Golem,55,65,45,Rock,Ground,499,499
526,80,70,4,85,False,Porygon-Z,135,75,90,Normal,,159,159
115,120,53,1,50,False,Hitmonlee,35,110,87,Fighting,,56,56
358,45,65,3,80,False,Grumpig,90,110,80,Psychic,,636,358
54,55,50,1,60,False,Venonat,40,55,45,Bug,Poison,532,532
534,65,107,4,50,False,"Wash Rotom",105,107,86,Electric,Water,798,534
768,121,119,6,82,False,Tyrantrum,69,59,71,Rock,Dragon,179,768
94,45,55,1,65,False,Seel,45,70,45,Water,,724,724
795,100,121,6,108,True,"Zygarde Half Forme",81,95,95,Dragon,Ground,437,795
313,80,80,3,80,False,Vigoroth,55,55,90,Normal,,432,432
305,35,35,3,38,False,Kirlia,65,55,50,Psychic,Fairy,251,305
269,164,150,2,100,False,"Mega Tyranitar",95,120,71,Rock,Dark,289,269
593,80,55,5,75,False,Timburr,25,35,35,Fighting,,733,733
568,110,90,5,85,False,Stoutland,45,90,80,Normal,,428,428
290,35,55,3,50,False,Silcoon,25,25,15,Bug,,287,287
762,75,90,6,65,False,Dragalge,97,123,44,Poison,Dragon,733,762
217,72,48,2,48,False,Unown,72,48,48,Psychic,,100,100
668,75,75,5,75,False,Beheeyem,125,95,40,Psychic,,87,668
165,150,70,1,106,True,"Mega Mewtwo Y",194,120,140,Psychic,,49,165
123,55,115,1,65,False,Tangela,100,40,60,Grass,,771,771
261,80,105,2,95,False,Miltank,40,70,100,Normal,,154,154
225,125,230,2,75,False,"Mega Steelix",55,95,30,Steel,Ground,640,640
313,80,80,3,80,False,Vigoroth,55,55,90,Normal,,103,103
106,73,70,1,85,False,Hypno,73,115,67,Psychic,,505,505
453,70,65,4,60,False,Roserade,125,105,90,Grass,Poison,614,614
107,105,90,1,30,False,Krabby,25,25,50,Water,,48,48
722,45,40,6,40,False,Fennekin,62,60,60,Fire,,590,590
559,93,55,5,90,False,Pignite,70,55,55,Fire,Fighting,431,431
141,125,79,1,95,False,Gyarados,60,100,81,Water,Flying,727,727
490,65,45,4,76,False,Chatot,92,42,91,Normal,Flying,239,490
490,65,45,4,76,False,Chatot,92,42,91,Normal,Flying,340,340
373,78,73,3,110,False,Whiscash,76,71,60,Water,Ground,128,128
3,82,83,1,80,False,Venusaur,100,100,80,Grass,Poison,730,3
502,50,90,4,40,False,Skorupi,30,55,65,Poison,Bug,91,502
714,72,90,5,91,False,"Keldeo Ordinary Forme",129,90,108,Water,Fighting,104,714
788,100,122,6,85,False,"Gourgeist Super Size",58,75,54,Ghost,Grass,276,276
459,59,85,4,60,False,"Wormadam Plant Cloak",79,105,36,Bug,Grass,16,16
432,95,90,3,50,True,"Deoxys Speed Forme",95,90,180,Psychic,,143,432
724,69,72,6,75,False,Delphox,114,100,104,Fire,Psychic,2,724
648,100,70,5,80,False,Sawsbuck,60,70,95,Normal,Grass,533,648
250,95,95,2,75,False,Kingdra,95,95,85,Water,Dragon,357,250
155,135,85,1,80,False,"Mega Aerodactyl",70,95,150,Rock,Flying,439,155
447,25,41,4,37,False,Kricketot,25,41,25,Bug,,20,20
366,70,90,3,75,False,Altaria,70,105,80,Dragon,Flying,371,366
337,100,85,3,60,False,"Mega Medicham",80,85,100,Fighting,Psychic,770,337
358,45,65,3,80,False,Grumpig,90,110,80,Psychic,,765,358
198,80,95,2,75,False,Bellossom,90,100,50,Grass,,110,198
152,80,90,1,30,False,Kabuto,55,45,55,Rock,Water,760,760
164,190,100,1,106,True,"Mega Mewtwo X",154,100,130,Psychic,Fighting,577,164
174,80,80,2,65,False,Croconaw,59,63,58,Water,,646,646
438,104,71,4,76,False,Infernape,104,71,108,Fire,Fighting,59,59
614,117,80,5,95,False,Krookodile,65,70,92,Ground,Dark,443,614
789,69,85,6,55,False,Bergmite,32,35,28,Ice,,127,127
504,61,40,4,48,False,Croagunk,61,40,50,Poison,Fighting,421,421
565,85,69,5,60,False,Watchog,60,69,77,Normal,,214,214
158,90,85,1,90,True,Zapdos,125,90,100,Electric,Flying,635,635
386,75,35,3,44,False,Shuppet,63,33,45,Ghost,,21,21
408,95,100,3,65,False,Shelgon,60,50,50,Dragon,,404,404
349,120,40,3,70,False,Sharpedo,95,40,95,Water,Dark,440,349
410,145,130,3,95,False,"Mega Salamence",120,90,120,Dragon,Flying,295,410
83,120,130,1,80,False,Golem,55,65,45,Rock,Ground,569,569
249,90,90,2,75,False,"Mega Houndoom",140,90,115,Dark,Fire,411,249
173,65,64,2,50,False,Totodile,44,48,43,Water,,609,173
770,77,72,6,123,False,Aurorus,99,92,58,Rock,Ice,572,572
51,80,85,1,75,False,Vileplume,110,90,50,Grass,Poison,473,473
452,30,35,4,40,False,Budew,50,70,55,Grass,Poison,106,106
550,90,90,4,70,True,Darkrai,135,90,125,Dark,,769,550
525,130,80,4,110,False,Mamoswine,70,60,80,Ice,Ground,740,525
464,80,102,4,70,False,Vespiquen,80,102,40,Bug,Flying,762,762
147,65,60,1,65,False,Jolteon,110,95,130,Electric,,798,798
572,98,63,5,75,False,Simisage,98,63,101,Grass,,45,572
569,50,37,5,41,False,Purrloin,50,37,66,Dark,,741,569
193,75,70,2,65,False,Xatu,95,70,95,Psychic,Flying,28,28
247,60,30,2,45,False,Houndour,80,50,65,Dark,Fire,445,247
511,92,75,4,90,False,Abomasnow,92,85,60,Grass,Ice,280,280
435,109,105,4,95,False,Torterra,75,85,56,Grass,Ground,44,44
794,131,95,6,126,True,Yveltal,131,98,99,Dark,Flying,359,794
196,75,85,2,90,False,Ampharos,115,90,55,Electric,,758,758
470,48,48,4,76,False,Shellos,57,62,34,Water,,410,410
631,95,82,5,80,False,Garbodor,60,82,75,Poison,,164,164
451,120,79,4,80,False,Luxray,95,79,70,Electric,,790,451
211,85,85,2,95,False,Quagsire,65,65,35,Water,Ground,442,442
773,58,57,6,67,False,Dedenne,81,67,101,Electric,Fairy,582,773
403,104,105,3,55,False,Huntail,94,75,52,Water,,59,59
401,80,90,3,110,False,Walrein,95,90,65,Ice,Water,413,413
228,95,75,2,65,False,Qwilfish,55,55,85,Water,Poison,679,679
753,52,60,6,78,False,Spritzee,63,65,23,Fairy,,196,196
578,55,85,5,116,False,Musharna,107,95,29,Psychic,,434,434
210,45,45,2,55,False,Wooper,25,25,15,Water,Ground,40,40
38,57,40,1,46,False,Nidoran♂,40,40,50,Poison,,716,716
18,25,50,1,45,False,Kakuna,25,25,35,Bug,Poison,458,458
538,75,130,4,75,True,Uxie,75,130,95,Psychic,,742,538
702,90,72,5,91,True,Virizion,90,129,108,Grass,Fighting,627,702
403,104,105,3,55,False,Huntail,94,75,52,Water,,412,403
517,100,125,4,100,False,Tangrowth,110,50,50,Grass,,136,136
465,45,70,4,60,False,Pachirisu,45,90,95,Electric,,89,465
505,106,65,4,83,False,Toxicroak,86,65,85,Poison,Fighting,502,505
601,53,70,5,45,False,Sewaddle,40,60,42,Bug,Grass,644,644
459,59,85,4,60,False,"Wormadam Plant Cloak",79,105,36,Bug,Grass,84,84
548,80,80,4,80,False,Phione,80,80,80,Water,,525,525
707,120,100,5,100,True,Reshiram,150,120,90,Dragon,Fire,521,521
14,30,35,1,45,False,Caterpie,20,20,45,Bug,,62,62
728,36,38,6,38,False,Bunnelby,32,36,57,Normal,,501,728
182,60,40,2,40,False,Spinarak,40,40,30,Bug,Poison,246,246
741,65,48,6,66,False,Skiddo,62,57,52,Grass,,117,741
29,60,44,1,35,False,Ekans,40,54,55,Poison,,431,431
719,61,65,6,56,False,Chespin,48,45,38,Grass,,574,574
209,65,45,2,65,False,Yanma,75,45,95,Bug,Flying,477,477
492,70,45,4,58,False,Gible,40,45,42,Dragon,Ground,37,37
425,180,160,3,100,True,"Primal Groudon",150,90,90,Ground,Fire,43,425
207,30,30,2,30,False,Sunkern,30,30,30,Grass,,284,284
749,80,100,6,45,False,Honedge,35,37,28,Steel,Ghost,512,512
539,105,105,4,80,True,Mesprit,105,105,80,Psychic,,153,153
152,80,90,1,30,False,Kabuto,55,45,55,Rock,Water,159,159
738,38,39,6,44,False,Flabébé,61,79,42,Fairy,,18,738
182,60,40,2,40,False,Spinarak,40,40,30,Bug,Poison,579,579
69,20,15,1,25,False,Abra,105,55,90,Psychic,,302,69
173,65,64,2,50,False,Totodile,44,48,43,Water,,713,713
488,25,45,4,20,False,"Mime Jr.",70,90,60,Psychic,Fairy,199,488
683,120,90,5,77,False,Druddigon,60,90,48,Dragon,,506,683
2,62,63,1,60,False,Ivysaur,80,80,60,Grass,Poison,619,2
735,52,50,6,80,False,Vivillon,90,50,89,Bug,Flying,255,735
70,35,30,1,40,False,Kadabra,120,70,105,Psychic,,800,70
