"Number pokemon 1","Number pokemon 2","Attack pokemon 2","Defense pokemon 2","Generation pokemon 2","HP pokemon 2","Legendary pokemon 2","Name pokemon 2","Sp. Atk pokemon 2","Sp. Def pokemon 2","Speed pokemon 2","Type 1 pokemon 2","Type 2 pokemon 2","Winning pokemon"
633,44,76,75,1,73,False,Ninetales,81,100,100,Fire,,633
595,719,61,65,6,56,False,Chespin,48,45,38,Grass,,595
606,40,102,77,1,81,False,Nidoking,85,75,85,Poison,Ground,606
368,598,95,75,5,105,False,Seismitoad,85,75,74,Water,Ground,368
746,584,75,85,5,55,False,Roggenrola,25,25,15,Rock,,746
350,187,40,15,2,20,False,Pichu,35,35,60,Electric,,350
303,198,80,95,2,75,False,Bellossom,90,100,50,Grass,,303
169,701,129,90,5,91,True,Terrakion,72,90,108,Rock,Fighting,701
569,115,120,53,1,50,False,Hitmonlee,35,110,87,Fighting,,115
231,172,84,78,2,78,False,Typhlosion,109,85,100,Fire,,172
71,440,66,68,4,64,False,Prinplup,81,76,50,Water,,71
659,610,60,75,5,70,False,Lilligant,110,75,90,Grass,,610
570,557,75,95,5,75,False,Serperior,75,95,113,Grass,,557
712,40,102,77,1,81,False,Nidoking,85,75,85,Poison,Ground,712
451,352,90,45,3,170,False,Wailord,90,45,60,Water,,451
661,95,70,80,1,90,False,Dewgong,70,95,70,Water,Ice,95
540,4,100,123,1,80,False,"Mega Venusaur",122,120,80,Grass,Poison,540
130,319,71,43,3,84,False,Loudred,71,43,48,Normal,,130
125,418,80,90,3,80,True,Latias,110,130,110,Dragon,Psychic,418
309,276,110,75,3,70,False,"Mega Sceptile",145,85,145,Grass,Dragon,276
579,612,72,35,5,50,False,Sandile,35,35,65,Ground,Dark,612
716,80,70,65,1,80,False,Tentacruel,80,120,100,Water,Poison,80
482,535,65,107,4,50,False,"Frost Rotom",105,107,86,Electric,Ice,535
376,37,92,87,1,90,False,Nidoqueen,75,85,76,Poison,Ground,37
6,328,85,125,3,50,False,"Mega Sableye",85,115,20,Dark,Ghost,328
343,159,100,90,1,90,True,Moltres,125,85,90,Fire,Flying,159
509,574,98,63,5,75,False,Simisear,98,63,101,Fire,,574
546,530,100,135,4,45,False,Dusknoir,65,135,45,Ghost,,546
486,229,130,100,2,70,False,Scizor,55,80,65,Bug,Steel,229
686,213,65,110,2,95,False,Umbreon,60,130,65,Dark,,213
304,386,75,35,3,44,False,Shuppet,63,33,45,Ghost,,386
514,732,81,71,6,78,False,Talonflame,74,69,126,Fire,Flying,732
161,757,54,53,6,53,False,Inkay,37,46,45,Dark,Psychic,161
150,265,75,115,2,100,True,Suicune,90,115,85,Water,,265
436,701,129,90,5,91,True,Terrakion,72,90,108,Rock,Fighting,701
221,265,75,115,2,100,True,Suicune,90,115,85,Water,,265
436,603,103,80,5,75,False,Leavanny,70,80,92,Bug,Grass,603
242,365,40,60,3,45,False,Swablu,40,75,50,Normal,Flying,242
792,251,60,60,2,90,False,Phanpy,40,40,40,Ground,,792
607,295,50,50,3,60,False,Lombre,60,70,50,Water,Grass,607
439,209,65,45,2,65,False,Yanma,75,45,95,Bug,Flying,209
657,360,100,45,3,45,False,Trapinch,45,45,10,Ground,,657
436,40,102,77,1,81,False,Nidoking,85,75,85,Poison,Ground,40
325,408,95,100,3,65,False,Shelgon,60,50,50,Dragon,,408
472,89,35,70,1,25,False,Magnemite,95,55,45,Electric,Steel,472
71,777,100,70,6,90,False,Goodra,110,150,80,Dragon,,71
47,615,90,45,5,70,False,Darumaka,15,45,50,Fire,,47
5,670,40,60,5,60,False,Lampent,95,60,55,Ghost,Fire,5
793,314,160,100,3,150,False,Slaking,95,65,100,Normal,,314
195,461,69,95,4,60,False,"Wormadam Trash Cloak",69,95,36,Bug,Steel,195
493,568,110,90,5,85,False,Stoutland,45,90,80,Normal,,493
400,341,50,40,3,60,False,Plusle,85,75,95,Electric,,341
63,297,40,50,3,40,False,Seedot,30,30,30,Grass,,63
541,446,85,60,4,79,False,Bibarel,55,60,71,Normal,Water,541
141,152,80,90,1,30,False,Kabuto,55,45,55,Rock,Water,141
54,115,120,53,1,50,False,Hitmonlee,35,110,87,Fighting,,115
378,161,84,65,1,61,False,Dragonair,70,70,70,Dragon,,161
224,316,90,45,3,61,False,Ninjask,50,50,160,Bug,Flying,316
311,398,120,80,3,80,False,"Mega Glalie",120,80,100,Ice,,398
298,35,47,52,1,55,False,Nidoran♀,40,40,41,Poison,,298
356,132,45,65,1,40,False,"Mr. Mime",100,120,90,Psychic,Fairy,356
103,370,55,65,3,70,False,Lunatone,95,85,70,Rock,Psychic,103
503,453,70,65,4,60,False,Roserade,125,105,90,Grass,Poison,503
600,598,95,75,5,105,False,Seismitoad,85,75,74,Water,Ground,600
445,45,45,20,1,115,False,Jigglypuff,45,25,20,Normal,Fairy,445
360,548,80,80,4,80,False,Phione,80,80,80,Water,,548
303,133,110,80,1,70,False,Scyther,55,80,105,Bug,Flying,133
51,331,70,100,3,50,False,Aron,40,40,30,Steel,Rock,51
171,559,93,55,5,90,False,Pignite,70,55,55,Fire,Fighting,171
758,129,92,65,1,80,False,Seaking,65,80,68,Water,,758
6,255,20,35,2,55,False,Smeargle,20,45,75,Normal,,6
698,154,105,65,1,80,False,Aerodactyl,60,75,130,Rock,Flying,154
92,491,92,108,4,50,False,Spiritomb,92,108,35,Ghost,Dark,491
381,73,80,50,1,70,False,Machop,35,35,35,Fighting,,381
354,271,130,90,2,106,True,Ho-oh,110,154,90,Fire,Flying,271
219,49,50,55,1,45,False,Oddish,75,65,30,Grass,Poison,219
736,244,55,45,2,45,False,Delibird,65,45,75,Ice,Flying,244
683,245,40,70,2,65,False,Mantine,80,140,70,Water,Flying,245
533,452,30,35,4,40,False,Budew,50,70,55,Grass,Poison,533
200,588,57,55,5,67,False,Swoobat,77,55,114,Psychic,Flying,588
403,636,30,50,5,45,False,Gothita,55,65,45,Psychic,,403
56,561,55,45,5,55,False,Oshawott,63,45,45,Water,,561
54,119,90,120,1,65,False,Weezing,85,70,60,Poison,,119
629,141,125,79,1,95,False,Gyarados,60,100,81,Water,Flying,629
547,779,70,48,6,43,False,Phantump,50,60,38,Ghost,Grass,547
380,547,70,120,4,120,False,Cresselia,75,130,85,Psychic,,547
407,307,85,65,3,68,False,"Mega Gardevoir",165,135,100,Psychic,Fairy,307
153,559,93,55,5,90,False,Pignite,70,55,55,Fire,Fighting,153
306,268,134,110,2,100,False,Tyranitar,95,100,61,Rock,Dark,306
89,382,15,20,3,20,False,Feebas,10,55,80,Water,,89
54,32,90,55,1,60,False,Raichu,90,80,110,Electric,,32
172,745,80,60,6,75,False,Furfrou,65,90,102,Normal,,745
16,110,50,70,1,60,False,Electrode,80,80,140,Electric,,110
537,734,22,60,6,45,False,Spewpa,27,30,29,Bug,,537
278,94,45,55,1,65,False,Seel,45,70,45,Water,,278
342,643,87,63,5,75,False,Swanna,87,63,98,Water,Flying,643
435,165,150,70,1,106,True,"Mega Mewtwo Y",194,120,140,Psychic,,165
638,691,55,75,5,70,False,Vullaby,45,65,60,Dark,Flying,691
734,718,120,95,5,71,False,Genesect,120,95,99,Bug,Steel,718
298,781,66,70,6,49,False,"Pumpkaboo Average Size",44,55,51,Ghost,Grass,298
42,113,50,95,1,50,False,Cubone,40,50,35,Ground,,42
97,316,90,45,3,61,False,Ninjask,50,50,160,Bug,Flying,97
416,397,80,80,3,80,False,Glalie,80,80,80,Ice,,397
483,400,60,70,3,90,False,Sealeo,75,70,45,Ice,Water,483
275,155,135,85,1,80,False,"Mega Aerodactyl",70,95,150,Rock,Flying,155
154,461,69,95,4,60,False,"Wormadam Trash Cloak",69,95,36,Bug,Steel,154
309,4,100,123,1,80,False,"Mega Venusaur",122,120,80,Grass,Poison,4
539,30,85,69,1,60,False,Arbok,65,79,80,Poison,,30
545,266,64,50,2,50,False,Larvitar,45,50,41,Rock,Ground,545
283,340,75,80,3,70,False,"Mega Manectric",135,80,135,Electric,,340
232,254,95,62,2,73,False,Stantler,85,65,85,Normal,,254
384,427,180,100,3,105,True,"Mega Rayquaza",180,100,115,Dragon,Flying,427
161,781,66,70,6,49,False,"Pumpkaboo Average Size",44,55,51,Ghost,Grass,161
496,420,90,80,3,80,True,Latios,130,110,110,Dragon,Psychic,496
268,159,100,90,1,90,True,Moltres,125,85,90,Fire,Flying,159
473,593,80,55,5,75,False,Timburr,25,35,35,Fighting,,473
550,475,66,44,4,55,False,Buneary,44,56,85,Normal,,550
199,785,90,122,6,65,False,"Gourgeist Average Size",58,75,84,Ghost,Grass,785
385,732,81,71,6,78,False,Talonflame,74,69,126,Fire,Flying,732
488,196,75,85,2,90,False,Ampharos,115,90,55,Electric,,488
30,587,45,43,5,55,False,Woobat,55,43,72,Psychic,Flying,30
36,494,130,95,4,108,False,Garchomp,80,85,102,Dragon,Ground,494
513,184,90,80,2,85,False,Crobat,70,80,130,Poison,Flying,184
129,106,73,70,1,85,False,Hypno,73,115,67,Psychic,,129
6,604,45,59,5,30,False,Venipede,30,39,57,Bug,Poison,6
137,315,45,90,3,31,False,Nincada,30,30,40,Bug,Ground,137
83,509,20,50,4,45,False,Mantyke,60,120,50,Water,Flying,509
585,534,65,107,4,50,False,"Wash Rotom",105,107,86,Electric,Water,585
743,57,80,50,1,35,False,Dugtrio,50,70,120,Ground,,57
220,723,59,58,6,59,False,Braixen,90,70,73,Fire,,723
764,665,85,70,5,65,False,Eelektrik,75,70,40,Electric,,764
708,439,51,53,4,53,False,Piplup,61,56,40,Water,,708
28,545,100,120,4,150,True,"Giratina Altered Forme",100,120,90,Ghost,Dragon,545
23,796,100,150,6,50,True,Diancie,100,150,50,Rock,Fairy,23
698,147,65,60,1,65,False,Jolteon,110,95,130,Electric,,147
306,635,95,60,5,75,False,Cinccino,65,60,115,Normal,,635
158,666,115,80,5,85,False,Eelektross,105,80,50,Electric,,158
55,750,110,150,6,59,False,Doublade,45,49,35,Steel,Ghost,750
513,439,51,53,4,53,False,Piplup,61,56,40,Water,,513
769,264,115,85,2,115,True,Entei,90,75,100,Fire,,264
232,499,145,88,4,70,False,"Mega Lucario",140,70,112,Fighting,Steel,499
23,623,58,80,5,72,False,Sigilyph,103,80,97,Psychic,Flying,23
97,250,95,95,2,75,False,Kingdra,95,95,85,Water,Dragon,250
324,544,160,110,4,110,True,Regigigas,80,110,100,Normal,,544
517,10,48,65,1,44,False,Squirtle,50,64,43,Water,,517
586,461,69,95,4,60,False,"Wormadam Trash Cloak",69,95,36,Bug,Steel,461
779,349,120,40,3,70,False,Sharpedo,95,40,95,Water,Dark,349
669,226,80,50,2,60,False,Snubbull,40,40,30,Fairy,,226
623,53,95,80,1,60,False,Parasect,60,80,30,Bug,Grass,623
538,718,120,95,5,71,False,Genesect,120,95,99,Bug,Steel,718
438,242,65,35,2,35,False,Remoraid,65,35,65,Water,,438
523,759,52,67,6,42,False,Binacle,39,56,50,Rock,Water,523
14,103,65,80,1,60,False,"Mega Gengar",170,95,130,Ghost,Poison,103
378,152,80,90,1,30,False,Kabuto,55,45,55,Rock,Water,152
478,361,70,50,3,50,False,Vibrava,50,50,70,Ground,Dragon,478
137,698,85,55,5,55,False,Larvesta,50,55,60,Bug,Fire,137
354,739,45,47,6,54,False,Floette,75,98,52,Fairy,,739
233,684,74,50,5,59,False,Golett,35,50,35,Ground,Ghost,684
291,605,55,99,5,40,False,Whirlipede,40,79,47,Bug,Poison,291
96,264,115,85,2,115,True,Entei,90,75,100,Fire,,264
730,137,125,100,1,65,False,Pinsir,55,70,85,Bug,,137
129,744,124,78,6,95,False,Pangoro,69,71,58,Fighting,Dark,129
611,107,105,90,1,30,False,Krabby,25,25,50,Water,,611
58,560,123,65,5,110,False,Emboar,100,65,65,Fire,Fighting,560
658,146,65,60,1,130,False,Vaporeon,110,95,65,Water,,658
625,753,52,60,6,78,False,Spritzee,63,65,23,Fairy,,625
524,27,60,30,1,40,False,Spearow,31,31,70,Normal,Flying,524
794,474,80,44,4,150,False,Drifblim,90,54,80,Ghost,Flying,794
365,391,68,83,3,99,False,Tropius,72,87,51,Grass,Flying,391
592,585,105,105,5,70,False,Boldore,50,40,20,Rock,,592
512,586,135,130,5,85,False,Gigalith,60,80,25,Rock,,512
526,424,150,140,3,100,True,Groudon,100,90,90,Ground,,424
70,456,42,118,4,30,False,Shieldon,42,88,30,Rock,Steel,70
540,288,70,61,3,78,False,Linoone,50,61,100,Normal,,540
347,389,40,90,3,20,False,Duskull,30,90,25,Ghost,,347
689,128,67,60,1,45,False,Goldeen,35,50,63,Water,,128
211,701,129,90,5,91,True,Terrakion,72,90,108,Rock,Fighting,701
336,385,90,70,3,60,False,Kecleon,60,120,40,Normal,,336
594,80,70,65,1,80,False,Tentacruel,80,120,100,Water,Poison,80
785,490,65,45,4,76,False,Chatot,92,42,91,Normal,Flying,490
425,308,30,32,3,40,False,Surskit,50,52,65,Bug,Water,425
27,731,73,55,6,62,False,Fletchinder,56,52,84,Fire,Flying,731
459,399,40,50,3,70,False,Spheal,55,50,25,Ice,Water,459
421,494,130,95,4,108,False,Garchomp,80,85,102,Dragon,Ground,421
578,768,121,119,6,82,False,Tyrantrum,69,59,71,Rock,Dragon,768
63,82,95,115,1,55,False,Graveler,45,45,35,Rock,Ground,63
257,221,90,140,2,75,False,Forretress,60,60,40,Bug,Steel,257
4,150,40,100,1,35,False,Omanyte,90,55,35,Rock,Water,4
546,333,110,180,3,70,False,Aggron,60,60,50,Steel,Rock,546
308,544,160,110,4,110,True,Regigigas,80,110,100,Normal,,544
213,442,55,30,4,40,False,Starly,30,30,60,Normal,Flying,213
575,302,30,30,3,40,False,Wingull,55,30,85,Water,Flying,302
209,645,65,65,5,51,False,Vanillish,80,75,59,Ice,,209
92,768,121,119,6,82,False,Tyrantrum,69,59,71,Rock,Dragon,92
116,672,87,60,5,46,False,Axew,30,40,57,Dragon,,116
132,69,20,15,1,25,False,Abra,105,55,90,Psychic,,69
568,396,50,50,3,50,False,Snorunt,50,50,50,Ice,,568
644,218,33,58,2,190,False,Wobbuffet,33,58,33,Psychic,,644
321,163,110,90,1,106,True,Mewtwo,154,90,130,Psychic,,163
17,164,190,100,1,106,True,"Mega Mewtwo X",154,100,130,Psychic,Fighting,164
715,190,20,65,2,35,False,Togepi,40,65,20,Fairy,,715
51,57,80,50,1,35,False,Dugtrio,50,70,120,Ground,,51
237,448,85,51,4,77,False,Kricketune,55,51,65,Bug,,448
580,676,110,80,5,95,False,Beartic,70,80,50,Ice,,580
789,726,63,52,6,54,False,Frogadier,83,56,97,Water,,726
420,718,120,95,5,71,False,Genesect,120,95,99,Bug,Steel,420
83,499,145,88,4,70,False,"Mega Lucario",140,70,112,Fighting,Steel,499
526,159,100,90,1,90,True,Moltres,125,85,90,Fire,Flying,159
115,56,55,25,1,10,False,Diglett,35,45,95,Ground,,56
358,636,30,50,5,45,False,Gothita,55,65,45,Psychic,,358
54,532,50,77,4,50,False,Rotom,95,77,91,Electric,Ghost,532
534,798,110,60,6,80,True,"Hoopa Confined",150,130,70,Psychic,Ghost,534
768,179,50,50,2,100,False,Noctowl,76,96,70,Normal,Flying,768
94,724,69,72,6,75,False,Delphox,114,100,104,Fire,Psychic,724
795,437,78,52,4,64,False,Monferno,78,52,81,Fire,Fighting,795
313,432,95,90,3,50,True,"Deoxys Speed Forme",95,90,180,Psychic,,432
305,251,60,60,2,90,False,Phanpy,40,40,40,Ground,,305
269,289,45,35,3,45,False,Wurmple,20,30,20,Bug,,269
593,733,35,40,6,38,False,Scatterbug,27,25,35,Bug,,733
568,428,100,100,3,100,True,Jirachi,100,100,100,Steel,Psychic,428
290,287,30,41,3,38,False,Zigzagoon,30,41,60,Normal,,287
762,733,35,40,6,38,False,Scatterbug,27,25,35,Bug,,762
217,100,35,30,1,30,False,Gastly,100,35,80,Ghost,Poison,100
668,87,75,110,1,95,False,Slowbro,100,80,30,Water,Psychic,668
165,49,50,55,1,45,False,Oddish,75,65,30,Grass,Poison,165
123,771,65,65,6,95,False,Sylveon,110,130,60,Fairy,,771
261,154,105,65,1,80,False,Aerodactyl,60,75,130,Rock,Flying,154
225,640,40,50,5,65,False,Duosion,125,60,30,Psychic,,640
313,103,65,80,1,60,False,"Mega Gengar",170,95,130,Ghost,Poison,103
106,505,106,65,4,83,False,Toxicroak,86,65,85,Poison,Fighting,505
453,614,117,80,5,95,False,Krookodile,65,70,92,Ground,Dark,614
107,48,80,70,1,75,False,Golbat,65,75,90,Poison,Flying,48
722,590,135,60,5,110,False,Excadrill,50,65,88,Ground,Steel,590
559,431,70,160,3,50,True,"Deoxys Defense Forme",70,160,90,Psychic,,431
141,727,95,67,6,72,False,Greninja,103,71,122,Water,Dark,727
490,239,50,40,2,50,False,Swinub,30,30,50,Ice,Ground,490
490,340,75,80,3,70,False,"Mega Manectric",135,80,135,Electric,,340
373,128,67,60,1,45,False,Goldeen,35,50,63,Water,,128
3,730,50,43,6,45,False,Fletchling,40,38,62,Normal,Flying,3
502,91,65,55,1,52,False,Farfetch'd,58,62,60,Normal,Flying,502
714,104,45,160,1,35,False,Onix,30,45,70,Rock,Ground,714
788,276,110,75,3,70,False,"Mega Sceptile",145,85,145,Grass,Dragon,276
459,16,45,50,1,60,False,Butterfree,90,80,70,Bug,Flying,16
432,143,85,80,1,130,False,Lapras,85,95,60,Water,Ice,432
724,2,62,63,1,60,False,Ivysaur,80,80,60,Grass,Poison,724
648,533,65,107,4,50,False,"Heat Rotom",105,107,86,Electric,Fire,648
250,357,25,35,3,60,False,Spoink,70,80,60,Psychic,,250
155,439,51,53,4,53,False,Piplup,61,56,40,Water,,155
447,20,150,40,1,65,False,"Mega Beedrill",15,80,145,Bug,Poison,20
366,371,95,85,3,70,False,Solrock,55,65,70,Rock,Psychic,366
337,770,77,72,6,123,False,Aurorus,99,92,58,Rock,Ice,337
358,765,38,33,6,44,False,Helioptile,61,43,70,Electric,Normal,358
198,110,50,70,1,60,False,Electrode,80,80,140,Electric,,198
152,760,105,115,6,72,False,Barbaracle,54,86,68,Rock,Water,760
164,577,25,45,5,76,False,Munna,67,55,24,Psychic,,164
174,646,95,85,5,71,False,Vanilluxe,110,95,79,Ice,,646
438,59,70,60,1,65,False,Persian,65,65,115,Normal,,59
614,443,75,50,4,55,False,Staravia,40,40,80,Normal,Flying,614
789,127,65,95,1,55,False,Seadra,95,45,85,Water,,127
504,421,130,100,3,80,True,"Mega Latios",160,120,110,Dragon,Psychic,421
565,214,85,42,2,60,False,Murkrow,85,42,91,Dark,Flying,214
158,635,95,60,5,75,False,Cinccino,65,60,115,Normal,,635
386,21,45,40,1,40,False,Pidgey,35,35,56,Normal,Flying,21
408,404,84,105,3,55,False,Gorebyss,114,75,52,Water,,404
349,440,66,68,4,64,False,Prinplup,81,76,50,Water,,349
410,295,50,50,3,60,False,Lombre,60,70,50,Water,Grass,410
83,569,50,37,5,41,False,Purrloin,50,37,66,Dark,,569
249,411,55,80,3,40,False,Beldum,35,60,30,Steel,Psychic,249
173,609,35,50,5,45,False,Petilil,70,50,30,Grass,,173
770,572,98,63,5,75,False,Simisage,98,63,101,Grass,,572
51,473,50,34,4,90,False,Drifloon,60,44,70,Ghost,Flying,473
452,106,73,70,1,85,False,Hypno,73,115,67,Psychic,,106
550,769,59,50,6,77,False,Amaura,67,63,46,Rock,Ice,550
525,740,65,68,6,78,False,Florges,112,154,75,Fairy,,525
464,762,75,90,6,65,False,Dragalge,97,123,44,Poison,Dragon,762
147,798,110,60,6,80,True,"Hoopa Confined",150,130,70,Psychic,Ghost,798
572,45,45,20,1,115,False,Jigglypuff,45,25,20,Normal,Fairy,572
569,741,65,48,6,66,False,Skiddo,62,57,52,Grass,,569
193,28,90,65,1,65,False,Fearow,61,61,100,Normal,Flying,28
247,445,45,40,4,59,False,Bidoof,35,40,31,Normal,,247
511,280,160,80,3,80,False,"Mega Blaziken",130,80,100,Fire,Fighting,280
435,44,76,75,1,73,False,Ninetales,81,100,100,Fire,,44
794,359,60,60,3,60,False,Spinda,60,60,60,Normal,,794
196,758,92,88,6,86,False,Malamar,68,75,73,Dark,Psychic,758
470,410,145,130,3,95,False,"Mega Salamence",120,90,120,Dragon,Flying,410
631,164,190,100,1,106,True,"Mega Mewtwo X",154,100,130,Psychic,Fighting,164
451,790,117,184,6,95,False,Avalugg,44,46,28,Ice,,451
211,442,55,30,4,40,False,Starly,30,30,60,Normal,Flying,442
773,582,60,32,5,45,False,Blitzle,50,32,76,Electric,,773
403,59,70,60,1,65,False,Persian,65,65,115,Normal,,59
401,413,135,130,3,80,False,Metagross,95,90,70,Steel,Psychic,413
228,679,70,40,5,80,False,Accelgor,100,60,145,Bug,,679
753,196,75,85,2,90,False,Ampharos,115,90,55,Electric,,196
578,434,89,85,4,75,False,Grotle,55,65,36,Grass,,434
210,40,102,77,1,81,False,Nidoking,85,75,85,Poison,Ground,40
38,716,77,77,5,100,False,"Meloetta Aria Forme",128,128,90,Normal,Psychic,716
18,458,29,45,4,40,False,Burmy,29,45,36,Bug,,458
538,742,100,62,6,123,False,Gogoat,97,81,68,Grass,,538
702,627,108,133,5,74,False,Carracosta,83,65,32,Water,Rock,702
403,412,75,100,3,60,False,Metang,55,80,50,Steel,Psychic,403
517,136,95,57,1,65,False,Magmar,100,85,93,Fire,,136
465,89,35,70,1,25,False,Magnemite,95,55,45,Electric,Steel,465
505,502,50,90,4,40,False,Skorupi,30,55,65,Poison,Bug,505
601,644,50,50,5,36,False,Vanillite,65,60,44,Ice,,644
459,84,85,55,1,50,False,Ponyta,65,65,90,Fire,,84
548,525,130,80,4,110,False,Mamoswine,70,60,80,Ice,Ground,525
707,521,76,86,4,86,False,Yanmega,116,56,95,Bug,Flying,521
14,62,80,35,1,40,False,Mankey,35,45,70,Fighting,,62
728,501,112,118,4,108,False,Hippowdon,68,72,47,Ground,,728
182,246,80,140,2,65,False,Skarmory,40,70,70,Steel,Flying,246
741,117,55,75,1,90,False,Lickitung,60,75,30,Normal,,741
29,431,70,160,3,50,True,"Deoxys Defense Forme",70,160,90,Psychic,,431
719,574,98,63,5,75,False,Simisear,98,63,101,Fire,,574
209,477,136,94,4,65,False,"Mega Lopunny",54,96,135,Normal,Fighting,477
492,37,92,87,1,90,False,Nidoqueen,75,85,76,Poison,Ground,37
425,43,41,40,1,38,False,Vulpix,50,65,65,Fire,,425
207,284,150,110,3,100,False,"Mega Swampert",95,110,70,Water,Ground,284
749,512,132,105,4,90,False,"Mega Abomasnow",132,105,30,Grass,Ice,512
539,153,115,105,1,60,False,Kabutops,65,70,80,Rock,Water,153
152,159,100,90,1,90,True,Moltres,125,85,90,Fire,Flying,159
738,18,25,50,1,45,False,Kakuna,25,25,35,Bug,Poison,738
182,579,55,50,5,50,False,Pidove,36,30,43,Normal,Flying,579
69,302,30,30,3,40,False,Wingull,55,30,85,Water,Flying,69
173,713,120,90,5,125,True,"Kyurem White Kyurem",170,100,95,Dragon,Ice,713
488,199,20,50,2,70,False,Marill,20,50,40,Water,Fairy,488
683,506,100,72,4,74,False,Carnivine,90,72,46,Grass,,683
2,619,65,85,5,50,False,Dwebble,35,35,55,Bug,Rock,2
